e,n,d
206.6811239481214,206.68119149046896,2761
207.02771177674086,207.02777943235154,2762
207.37464045129857,207.3747082202838,2763
207.72191016681631,207.72197804928751,2764
208.06952111865635,208.06958911472506,2765
208.4174735025231,208.4175416123009,2766
208.76576751446183,208.76583573806036,2767
209.11440335086152,209.11447168839248,2768
209.4633812084543,209.46344966002948,2769
209.81270128431697,209.81276985004817,2770
210.16236377587106,210.16243245587017,2771
210.51236888088337,210.51243767526242,2772
210.86271679746747,210.86278570633843,2773
211.21340772408314,211.21347674755813,2774
211.56444185953941,211.5645109977306,2775
211.9158194029926,211.91588865601219,2776
212.26754055394852,212.26760992190881,2777
212.61960551226286,212.6196749952762,2778
212.97201447814214,212.97208407632093,2779
213.32476765214366,213.32483736560042,2780
213.67786523517714,213.6779350640244,2781
214.03130742850513,214.0313773728555,2782
214.3850944337441,214.38516449371028,2783
214.7392264528633,214.73929662855804,2784
215.09370368818833,215.09377397972443,2785
215.44852634240002,215.44859674989038,2786
215.80369461853616,215.80376514209374,2787
216.15920871999054,216.15927935972832,2788
216.5150688505154,216.51513960654648,2789
216.87127521422258,216.87134608666008,2790
217.22782801558137,217.22789900453856,2791
217.5847274594226,217.5847985650127,2792
217.94197375093813,217.94204497327453,2793
218.299567095681,218.29963843487707,2794
218.65750769956588,218.65757915573516,2795
219.01579576887158,219.0158673421276,2796
219.3744315102408,219.37450320069715,2797
219.73341513068064,219.73348693845102,2798
220.0927468375631,220.09281876276128,2799
220.45242683862713,220.45249888136692,2800
220.81245534197822,220.81252750237348,2801
221.1728325560897,221.17290483425444,2802
221.53355868980282,221.53363108585103,2803
221.89463395232954,221.8947064663753,2804
222.25605855325028,222.2561311854078,2805
222.617832702517,222.6179054529005,2806
222.9799566104529,222.98002947917664,2807
223.3424304877539,223.34250347493227,2808
223.705254545489,223.70532765123644,2809
224.06842899510076,224.06850221953178,2810
224.4319540484064,224.43202739163556,2811
224.79582991759966,224.79590337974162,2812
